ArrayTaskID date     time lead time
0           20050802 1800 168      
1           20050803 0000 168      
2           20050803 0600 168      
3           20050803 1200 168      
4           20050803 1800 168      
5           20050804 0000 168      
6           20050804 0600 168      
7           20050804 1200 168      
8           20050804 1800 168      
9           20050805 0000 168      
10          20050805 0600 168      
11          20050805 1200 168      
12          20050805 1800 168      
13          20050806 0000 168      
14          20050806 0600 168      
15          20050806 1200 168      
16          20050806 1800 168      
17          20050807 0000 168      
18          20050807 0600 162      
19          20050807 1200 156      
20          20050807 1800 150      
21          20050808 0000 144      
22          20050808 0600 138      
23          20050808 1200 132      
24          20050808 1800 126      
25          20050809 0000 120      
26          20050809 0600 114      
27          20050809 1200 108      
28          20050809 1800 102      
29          20050810 0000 96       
30          20050810 0600 90       
31          20050810 1200 84       
32          20050810 1800 78       
33          20050811 0000 72       
34          20050811 0600 66       
35          20050811 1200 60       
36          20050811 1800 54       
37          20050812 0000 48       
38          20050812 0600 42       
39          20050812 1200 36       
40          20050812 1800 30       
41          20050813 0000 24       
42          20050813 0600 18       
43          20050813 1200 12       
44          20050813 1800 6        
