ArrayTaskID date     time lead time
0           20050401 1200 168      
1           20050401 1800 168      
2           20050402 0000 168      
3           20050402 0600 168      
4           20050402 1200 168      
5           20050402 1800 168      
6           20050403 0000 168      
7           20050403 0600 168      
8           20050403 1200 168      
9           20050403 1800 168      
10          20050404 0000 168      
11          20050404 0600 168      
12          20050404 1200 168      
13          20050404 1800 168      
14          20050405 0000 168      
15          20050405 0600 168      
16          20050405 1200 168      
17          20050405 1800 168      
18          20050406 0000 168      
19          20050406 0600 168      
20          20050406 1200 168      
21          20050406 1800 168      
22          20050407 0000 168      
23          20050407 0600 168      
24          20050407 1200 168      
25          20050407 1800 168      
26          20050408 0000 168      
27          20050408 0600 168      
28          20050408 1200 168      
29          20050408 1800 168      
30          20050409 0000 168      
31          20050409 0600 168      
32          20050409 1200 162      
33          20050409 1800 156      
34          20050410 0000 150      
35          20050410 0600 144      
36          20050410 1200 138      
37          20050410 1800 132      
38          20050411 0000 126      
39          20050411 0600 120      
40          20050411 1200 114      
41          20050411 1800 108      
42          20050412 0000 102      
43          20050412 0600 96       
44          20050412 1200 90       
45          20050412 1800 84       
46          20050413 0000 78       
47          20050413 0600 72       
48          20050413 1200 66       
49          20050413 1800 60       
50          20050414 0000 54       
51          20050414 0600 48       
52          20050414 1200 42       
53          20050414 1800 36       
54          20050415 0000 30       
55          20050415 0600 24       
56          20050415 1200 18       
57          20050415 1800 12       
58          20050416 0000 6        
