ArrayTaskID date     time lead time
0           20050823 1800 168      
1           20050824 0000 168      
2           20050824 0600 168      
3           20050824 1200 162      
4           20050824 1800 156      
5           20050825 0000 150      
6           20050825 0600 144      
7           20050825 1200 138      
8           20050825 1800 132      
9           20050826 0000 126      
10          20050826 0600 120      
11          20050826 1200 114      
12          20050826 1800 108      
13          20050827 0000 102      
14          20050827 0600 96       
15          20050827 1200 90       
16          20050827 1800 84       
17          20050828 0000 78       
18          20050828 0600 72       
19          20050828 1200 66       
20          20050828 1800 60       
21          20050829 0000 54       
22          20050829 0600 48       
23          20050829 1200 42       
24          20050829 1800 36       
25          20050830 0000 30       
26          20050830 0600 24       
27          20050830 1200 18       
28          20050830 1800 12       
29          20050831 0000 6        
