ArrayTaskID date     time lead time
0           20050919 0000 168      
1           20050919 0600 168      
2           20050919 1200 168      
3           20050919 1800 168      
4           20050920 0000 168      
5           20050920 0600 168      
6           20050920 1200 168      
7           20050920 1800 168      
8           20050921 0000 168      
9           20050921 0600 162      
10          20050921 1200 156      
11          20050921 1800 150      
12          20050922 0000 144      
13          20050922 0600 138      
14          20050922 1200 132      
15          20050922 1800 126      
16          20050923 0000 120      
17          20050923 0600 114      
18          20050923 1200 108      
19          20050923 1800 102      
20          20050924 0000 96       
21          20050924 0600 90       
22          20050924 1200 84       
23          20050924 1800 78       
24          20050925 0000 72       
25          20050925 0600 66       
26          20050925 1200 60       
27          20050925 1800 54       
28          20050926 0000 48       
29          20050926 0600 42       
30          20050926 1200 36       
31          20050926 1800 30       
32          20050927 0000 24       
33          20050927 0600 18       
34          20050927 1200 12       
35          20050927 1800 6        
