ArrayTaskID date     time lead time
0           20180913 0600 144      
1           20180913 1200 138      
2           20180913 1800 132      
3           20180914 0000 126      
4           20180914 0600 120      
5           20180914 1200 114      
6           20180914 1800 108      
7           20180915 0000 102      
8           20180915 0600 96       
9           20180915 1200 90       
10          20180915 1800 84       
11          20180916 0000 78       
12          20180916 0600 72       
13          20180916 1200 66       
14          20180916 1800 60       
15          20180917 0000 54       
16          20180917 0600 48       
17          20180917 1200 42       
18          20180917 1800 36       
19          20180918 0000 30       
20          20180918 0600 24       
21          20180918 1200 18       
22          20180918 1800 12       
23          20180919 0000 6        
