ArrayTaskID date     time lead time
0           20201111 1200 168      
1           20201111 1800 168      
2           20201112 0000 168      
3           20201112 0600 168      
4           20201112 1200 168      
5           20201112 1800 168      
6           20201113 0000 168      
7           20201113 0600 168      
8           20201113 1200 168      
9           20201113 1800 162      
10          20201114 0000 156      
11          20201114 0600 150      
12          20201114 1200 144      
13          20201114 1800 138      
14          20201115 0000 132      
15          20201115 0600 126      
16          20201115 1200 120      
17          20201115 1800 114      
18          20201116 0000 108      
19          20201116 0600 102      
20          20201116 1200 96       
21          20201116 1800 90       
22          20201117 0000 84       
23          20201117 0600 78       
24          20201117 1200 72       
25          20201117 1800 66       
26          20201118 0000 60       
27          20201118 0600 54       
28          20201118 1200 48       
29          20201118 1800 42       
30          20201119 0000 36       
31          20201119 0600 30       
32          20201119 1200 24       
33          20201119 1800 18       
34          20201120 0000 12       
35          20201120 0600 6        
