ArrayTaskID date     time lead time
0           20020627 0600 168      
1           20020627 1200 168      
2           20020627 1800 168      
3           20020628 0000 168      
4           20020628 0600 168      
5           20020628 1200 168      
6           20020628 1800 168      
7           20020629 0000 168      
8           20020629 0600 168      
9           20020629 1200 168      
10          20020629 1800 168      
11          20020630 0000 168      
12          20020630 0600 168      
13          20020630 1200 168      
14          20020630 1800 168      
15          20020701 0000 168      
16          20020701 0600 168      
17          20020701 1200 168      
18          20020701 1800 168      
19          20020702 0000 168      
20          20020702 0600 168      
21          20020702 1200 168      
22          20020702 1800 168      
23          20020703 0000 168      
24          20020703 0600 168      
25          20020703 1200 168      
26          20020703 1800 168      
27          20020704 0000 168      
28          20020704 0600 168      
29          20020704 1200 168      
30          20020704 1800 168      
31          20020705 0000 168      
32          20020705 0600 168      
33          20020705 1200 168      
34          20020705 1800 168      
35          20020706 0000 168      
36          20020706 0600 162      
37          20020706 1200 156      
38          20020706 1800 150      
39          20020707 0000 144      
40          20020707 0600 138      
41          20020707 1200 132      
42          20020707 1800 126      
43          20020708 0000 120      
44          20020708 0600 114      
45          20020708 1200 108      
46          20020708 1800 102      
47          20020709 0000 96       
48          20020709 0600 90       
49          20020709 1200 84       
50          20020709 1800 78       
51          20020710 0000 72       
52          20020710 0600 66       
53          20020710 1200 60       
54          20020710 1800 54       
55          20020711 0000 48       
56          20020711 0600 42       
57          20020711 1200 36       
58          20020711 1800 30       
59          20020712 0000 24       
60          20020712 0600 18       
61          20020712 1200 12       
62          20020712 1800 6        
