ArrayTaskID date     time lead time
0           20020524 1800 168      
1           20020525 0000 168      
2           20020525 0600 168      
3           20020525 1200 168      
4           20020525 1800 162      
5           20020526 0000 156      
6           20020526 0600 150      
7           20020526 1200 144      
8           20020526 1800 138      
9           20020527 0000 132      
10          20020527 0600 126      
11          20020527 1200 120      
12          20020527 1800 114      
13          20020528 0000 108      
14          20020528 0600 102      
15          20020528 1200 96       
16          20020528 1800 90       
17          20020529 0000 84       
18          20020529 0600 78       
19          20020529 1200 72       
20          20020529 1800 66       
21          20020530 0000 60       
22          20020530 0600 54       
23          20020530 1200 48       
24          20020530 1800 42       
25          20020531 0000 36       
26          20020531 0600 30       
27          20020531 1200 24       
28          20020531 1800 18       
29          20020601 0000 12       
30          20020601 0600 6        
