ArrayTaskID date     time lead time
0           20091002 1800 42       
1           20091002 1800 96       
2           20091002 1800 168      
3           20091003 0000 36       
4           20091003 0000 90       
5           20091003 0000 168      
6           20091003 0600 30       
7           20091003 0600 84       
8           20091003 0600 168      
9           20091003 1200 24       
10          20091003 1200 78       
11          20091003 1200 168      
12          20091003 1800 18       
13          20091003 1800 72       
14          20091003 1800 168      
15          20091004 0000 12       
16          20091004 0000 66       
17          20091004 0000 168      
18          20091004 0600 6        
19          20091004 0600 60       
20          20091004 0600 162      
21          20091004 0600 168      
22          20091004 1200 54       
23          20091004 1200 156      
24          20091004 1200 168      
25          20091004 1800 48       
26          20091004 1800 150      
27          20091004 1800 168      
28          20091005 0000 42       
29          20091005 0000 144      
30          20091005 0000 168      
31          20091005 0600 36       
32          20091005 0600 138      
33          20091005 0600 168      
34          20091005 1200 30       
35          20091005 1200 132      
36          20091005 1200 168      
37          20091005 1800 24       
38          20091005 1800 126      
39          20091005 1800 168      
40          20091006 0000 18       
41          20091006 0000 120      
42          20091006 0000 132      
43          20091006 0000 168      
44          20091006 0600 12       
45          20091006 0600 114      
46          20091006 0600 126      
47          20091006 0600 168      
48          20091006 1200 6        
49          20091006 1200 108      
50          20091006 1200 120      
51          20091006 1200 168      
52          20091006 1800 102      
53          20091006 1800 114      
54          20091006 1800 168      
55          20091007 0000 96       
56          20091007 0000 108      
57          20091007 0000 168      
58          20091007 0600 90       
59          20091007 0600 102      
60          20091007 0600 168      
61          20091007 1200 84       
62          20091007 1200 96       
63          20091007 1200 168      
64          20091007 1800 78       
65          20091007 1800 90       
66          20091007 1800 168      
67          20091008 0000 72       
68          20091008 0000 84       
69          20091008 0000 162      
70          20091008 0000 168      
71          20091008 0600 66       
72          20091008 0600 78       
73          20091008 0600 156      
74          20091008 0600 168      
75          20091008 1200 60       
76          20091008 1200 72       
77          20091008 1200 150      
78          20091008 1200 168      
79          20091008 1800 54       
80          20091008 1800 66       
81          20091008 1800 144      
82          20091008 1800 162      
83          20091008 1800 168      
84          20091009 0000 48       
85          20091009 0000 60       
86          20091009 0000 138      
87          20091009 0000 156      
88          20091009 0000 162      
89          20091009 0600 42       
90          20091009 0600 54       
91          20091009 0600 132      
92          20091009 0600 150      
93          20091009 0600 156      
94          20091009 1200 36       
95          20091009 1200 48       
96          20091009 1200 126      
97          20091009 1200 144      
98          20091009 1200 150      
99          20091009 1800 30       
100         20091009 1800 42       
101         20091009 1800 120      
102         20091009 1800 138      
103         20091009 1800 144      
104         20091010 0000 24       
105         20091010 0000 36       
106         20091010 0000 114      
107         20091010 0000 132      
108         20091010 0000 138      
109         20091010 0600 18       
110         20091010 0600 30       
111         20091010 0600 108      
112         20091010 0600 126      
113         20091010 0600 132      
114         20091010 1200 12       
115         20091010 1200 24       
116         20091010 1200 102      
117         20091010 1200 120      
118         20091010 1200 126      
119         20091010 1800 6        
120         20091010 1800 18       
121         20091010 1800 96       
122         20091010 1800 114      
123         20091010 1800 120      
124         20091011 0000 12       
125         20091011 0000 90       
126         20091011 0000 108      
127         20091011 0000 114      
128         20091011 0600 6        
129         20091011 0600 84       
130         20091011 0600 102      
131         20091011 0600 108      
132         20091011 1200 78       
133         20091011 1200 96       
134         20091011 1200 102      
135         20091011 1800 72       
136         20091011 1800 90       
137         20091011 1800 96       
138         20091012 0000 66       
139         20091012 0000 84       
140         20091012 0000 90       
141         20091012 0600 60       
142         20091012 0600 78       
143         20091012 0600 84       
144         20091012 1200 54       
145         20091012 1200 72       
146         20091012 1200 78       
147         20091012 1800 48       
148         20091012 1800 66       
149         20091012 1800 72       
150         20091013 0000 42       
151         20091013 0000 60       
152         20091013 0000 66       
153         20091013 0600 36       
154         20091013 0600 54       
155         20091013 0600 60       
156         20091013 1200 30       
157         20091013 1200 48       
158         20091013 1200 54       
159         20091013 1800 24       
160         20091013 1800 42       
161         20091013 1800 48       
162         20091013 1800 168      
163         20091014 0000 18       
164         20091014 0000 36       
165         20091014 0000 42       
166         20091014 0000 168      
167         20091014 0600 12       
168         20091014 0600 30       
169         20091014 0600 36       
170         20091014 0600 168      
171         20091014 1200 6        
172         20091014 1200 24       
173         20091014 1200 30       
174         20091014 1200 168      
175         20091014 1800 18       
176         20091014 1800 24       
177         20091014 1800 168      
178         20091015 0000 12       
179         20091015 0000 18       
180         20091015 0000 162      
181         20091015 0000 168      
182         20091015 0600 6        
183         20091015 0600 12       
184         20091015 0600 156      
185         20091015 0600 168      
186         20091015 1200 6        
187         20091015 1200 150      
188         20091015 1200 168      
189         20091015 1800 144      
190         20091015 1800 168      
191         20091016 0000 138      
192         20091016 0000 168      
193         20091016 0600 132      
194         20091016 0600 168      
195         20091016 1200 126      
196         20091016 1200 168      
197         20091016 1800 120      
198         20091016 1800 168      
199         20091017 0000 114      
200         20091017 0000 168      
201         20091017 0600 108      
202         20091017 0600 168      
203         20091017 1200 102      
204         20091017 1200 168      
205         20091017 1800 96       
206         20091017 1800 168      
207         20091018 0000 90       
208         20091018 0000 168      
209         20091018 0600 84       
210         20091018 0600 168      
211         20091018 1200 78       
212         20091018 1200 168      
213         20091018 1800 72       
214         20091018 1800 168      
215         20091019 0000 66       
216         20091019 0000 168      
217         20091019 0600 60       
218         20091019 0600 168      
219         20091019 1200 54       
220         20091019 1200 168      
221         20091019 1800 48       
222         20091019 1800 168      
223         20091020 0000 42       
224         20091020 0000 168      
225         20091020 0600 36       
226         20091020 0600 162      
227         20091020 0600 168      
228         20091020 1200 30       
229         20091020 1200 156      
230         20091020 1200 168      
231         20091020 1800 24       
232         20091020 1800 150      
233         20091020 1800 168      
234         20091021 0000 18       
235         20091021 0000 144      
236         20091021 0000 168      
237         20091021 0600 12       
238         20091021 0600 138      
239         20091021 0600 168      
240         20091021 1200 6        
241         20091021 1200 132      
242         20091021 1200 168      
243         20091021 1800 126      
244         20091021 1800 168      
245         20091022 0000 120      
246         20091022 0000 168      
247         20091022 0600 114      
248         20091022 0600 168      
249         20091022 1200 108      
250         20091022 1200 168      
251         20091022 1800 102      
252         20091022 1800 168      
253         20091023 0000 96       
254         20091023 0000 168      
255         20091023 0600 90       
256         20091023 0600 168      
257         20091023 1200 84       
258         20091023 1200 168      
259         20091023 1800 78       
260         20091023 1800 168      
261         20091024 0000 72       
262         20091024 0000 162      
263         20091024 0600 66       
264         20091024 0600 156      
265         20091024 1200 60       
266         20091024 1200 150      
267         20091024 1800 54       
268         20091024 1800 144      
269         20091025 0000 48       
270         20091025 0000 138      
271         20091025 0600 42       
272         20091025 0600 132      
273         20091025 1200 36       
274         20091025 1200 126      
275         20091025 1800 30       
276         20091025 1800 120      
277         20091025 1800 168      
278         20091026 0000 24       
279         20091026 0000 114      
280         20091026 0000 168      
281         20091026 0600 18       
282         20091026 0600 108      
283         20091026 0600 168      
284         20091026 1200 12       
285         20091026 1200 102      
286         20091026 1200 168      
287         20091026 1800 6        
288         20091026 1800 96       
289         20091026 1800 168      
290         20091027 0000 90       
291         20091027 0000 162      
292         20091027 0600 84       
293         20091027 0600 156      
294         20091027 1200 78       
295         20091027 1200 150      
296         20091027 1800 72       
297         20091027 1800 144      
298         20091028 0000 66       
299         20091028 0000 138      
