ArrayTaskID date     time lead time
0           20200405 0000 168      
1           20200405 1200 168      
2           20200406 0000 168      
3           20200406 1200 168      
4           20200407 0000 168      
5           20200407 1200 168      
6           20200408 0000 156      
7           20200408 1200 144      
8           20200409 0000 132      
9           20200409 1200 120      
10          20200410 0000 108      
11          20200410 1200 96       
12          20200411 0000 84       
13          20200411 1200 72       
14          20200412 0000 60       
15          20200412 1200 48       
16          20200413 0000 36       
17          20200413 1200 24       
18          20200414 0000 12       
