ArrayTaskID date     time lead time
0           20000329 0000 168      
1           20000329 0600 168      
2           20000329 1200 168      
3           20000329 1800 168      
4           20000330 0000 168      
5           20000330 0600 168      
6           20000330 1200 168      
7           20000330 1800 168      
8           20000331 0000 168      
9           20000331 0600 162      
10          20000331 1200 156      
11          20000331 1800 150      
12          20000401 0000 144      
13          20000401 0600 138      
14          20000401 1200 132      
15          20000401 1800 126      
16          20000402 0000 120      
17          20000402 0600 114      
18          20000402 1200 108      
19          20000402 1800 102      
20          20000403 0000 96       
21          20000403 0600 90       
22          20000403 1200 84       
23          20000403 1800 78       
24          20000404 0000 72       
25          20000404 0600 66       
26          20000404 1200 60       
27          20000404 1800 54       
28          20000405 0000 48       
29          20000405 0600 42       
30          20000405 1200 36       
31          20000405 1800 30       
32          20000406 0000 24       
33          20000406 0600 18       
34          20000406 1200 12       
35          20000406 1800 6        
