ArrayTaskID date     time lead time
0           19991209 0000 168      
1           19991209 0600 168      
2           19991209 1200 168      
3           19991209 1800 168      
4           19991210 0000 168      
5           19991210 0600 168      
6           19991210 1200 168      
7           19991210 1800 162      
8           19991211 0000 156      
9           19991211 0600 150      
10          19991211 1200 144      
11          19991211 1800 138      
12          19991212 0000 132      
13          19991212 0600 126      
14          19991212 1200 120      
15          19991212 1800 114      
16          19991213 0000 108      
17          19991213 0600 102      
18          19991213 1200 96       
19          19991213 1800 90       
20          19991214 0000 84       
21          19991214 0600 78       
22          19991214 1200 72       
23          19991214 1800 66       
24          19991215 0000 60       
25          19991215 0600 54       
26          19991215 1200 48       
27          19991215 1800 42       
28          19991216 0000 36       
29          19991216 0600 30       
30          19991216 1200 24       
31          19991216 1800 18       
32          19991217 0000 12       
33          19991217 0600 6        
