ArrayTaskID date     time lead time
0           20000331 0000 84       
1           20000331 0600 78       
2           20000331 1200 72       
3           20000331 1800 66       
4           20000401 0000 60       
5           20000401 0600 54       
6           20000401 1200 48       
7           20000401 1800 42       
8           20000402 0000 36       
9           20000402 0600 30       
10          20000402 1200 24       
11          20000402 1800 18       
12          20000403 0000 12       
13          20000403 0600 6        
