ArrayTaskID date     time lead time
0           20000229 0000 168      
1           20000229 0600 168      
2           20000229 1200 168      
3           20000229 1800 168      
4           20000301 0000 168      
5           20000301 0600 168      
6           20000301 1200 168      
7           20000301 1800 168      
8           20000302 0000 168      
9           20000302 0600 168      
10          20000302 1200 168      
11          20000302 1800 168      
12          20000303 0000 168      
13          20000303 0600 162      
14          20000303 1200 156      
15          20000303 1800 150      
16          20000304 0000 144      
17          20000304 0600 138      
18          20000304 1200 132      
19          20000304 1800 126      
20          20000305 0000 120      
21          20000305 0600 114      
22          20000305 1200 108      
23          20000305 1800 102      
24          20000306 0000 96       
25          20000306 0600 90       
26          20000306 1200 84       
27          20000306 1800 78       
28          20000307 0000 72       
29          20000307 0600 66       
30          20000307 1200 60       
31          20000307 1800 54       
32          20000308 0000 48       
33          20000308 0600 42       
34          20000308 1200 36       
35          20000308 1800 30       
36          20000309 0000 24       
37          20000309 0600 18       
38          20000309 1200 12       
39          20000309 1800 6        
