ArrayTaskID date     time lead time
0           19800731 0000 168      
1           19800731 0600 168      
2           19800731 1200 162      
3           19800731 1800 156      
4           19800801 0000 150      
5           19800801 0600 144      
6           19800801 1200 138      
7           19800801 1800 132      
8           19800802 0000 126      
9           19800802 0600 120      
10          19800802 1200 114      
11          19800802 1800 108      
12          19800803 0000 102      
13          19800803 0600 96       
14          19800803 1200 90       
15          19800803 1800 84       
16          19800804 0000 78       
17          19800804 0600 72       
18          19800804 1200 66       
19          19800804 1800 60       
20          19800805 0000 54       
21          19800805 0600 48       
22          19800805 1200 42       
23          19800805 1800 36       
24          19800806 0000 30       
25          19800806 0600 24       
26          19800806 1200 18       
27          19800806 1800 12       
28          19800807 0000 6        
