ArrayTaskID date     time lead time
0           19800715 0000 168      
1           19800715 0600 168      
2           19800715 1200 168      
3           19800715 1800 168      
4           19800716 0000 168      
5           19800716 0600 168      
6           19800716 1200 168      
7           19800716 1800 168      
8           19800717 0000 168      
9           19800717 0600 162      
10          19800717 1200 156      
11          19800717 1800 150      
12          19800718 0000 144      
13          19800718 0600 138      
14          19800718 1200 132      
15          19800718 1800 126      
16          19800719 0000 120      
17          19800719 0600 114      
18          19800719 1200 108      
19          19800719 1800 102      
20          19800720 0000 96       
21          19800720 0600 90       
22          19800720 1200 84       
23          19800720 1800 78       
24          19800721 0000 72       
25          19800721 0600 66       
26          19800721 1200 60       
27          19800721 1800 54       
28          19800722 0000 48       
29          19800722 0600 42       
30          19800722 1200 36       
31          19800722 1800 30       
32          19800723 0000 24       
33          19800723 0600 18       
34          19800723 1200 12       
35          19800723 1800 6        
