ArrayTaskID date     time lead time
0           19801022 0000 168      
1           19801022 0600 168      
2           19801022 1200 168      
3           19801022 1800 168      
4           19801023 0000 168      
5           19801023 0600 168      
6           19801023 1200 168      
7           19801023 1800 168      
8           19801024 0000 168      
9           19801024 0600 168      
10          19801024 1200 168      
11          19801024 1800 168      
12          19801025 0000 168      
13          19801025 0600 168      
14          19801025 1200 168      
15          19801025 1800 168      
16          19801026 0000 168      
17          19801026 0600 168      
18          19801026 1200 168      
19          19801026 1800 168      
20          19801027 0000 168      
21          19801027 0600 168      
22          19801027 1200 168      
23          19801027 1800 168      
24          19801028 0000 168      
25          19801028 0600 168      
26          19801028 1200 168      
27          19801028 1800 168      
28          19801029 0000 168      
29          19801029 0600 168      
30          19801029 1200 168      
31          19801029 1800 168      
32          19801030 0000 168      
33          19801030 0600 168      
34          19801030 1200 168      
35          19801030 1800 168      
36          19801031 0000 168      
37          19801031 0600 168      
38          19801031 1200 168      
39          19801031 1800 168      
40          19801101 0000 168      
41          19801101 0600 168      
42          19801101 1200 168      
43          19801101 1800 162      
44          19801102 0000 156      
45          19801102 0600 150      
46          19801102 1200 144      
47          19801102 1800 138      
48          19801103 0000 132      
49          19801103 0600 126      
50          19801103 1200 120      
51          19801103 1800 114      
52          19801104 0000 108      
53          19801104 0600 102      
54          19801104 1200 96       
55          19801104 1800 90       
56          19801105 0000 84       
57          19801105 0600 78       
58          19801105 1200 72       
59          19801105 1800 66       
60          19801106 0000 60       
61          19801106 0600 54       
62          19801106 1200 48       
63          19801106 1800 42       
64          19801107 0000 36       
65          19801107 0600 30       
66          19801107 1200 24       
67          19801107 1800 18       
68          19801108 0000 12       
69          19801108 0600 6        
