ArrayTaskID date     time lead time
0           19800127 0000 168      
1           19800127 0600 168      
2           19800127 1200 168      
3           19800127 1800 168      
4           19800128 0000 168      
5           19800128 0600 162      
6           19800128 1200 156      
7           19800128 1800 150      
8           19800129 0000 144      
9           19800129 0600 138      
10          19800129 1200 132      
11          19800129 1800 126      
12          19800130 0000 120      
13          19800130 0600 114      
14          19800130 1200 108      
15          19800130 1800 102      
16          19800131 0000 96       
17          19800131 0600 90       
18          19800131 1200 84       
19          19800131 1800 78       
20          19800201 0000 72       
21          19800201 0600 66       
22          19800201 1200 60       
23          19800201 1800 54       
24          19800202 0000 48       
25          19800202 0600 42       
26          19800202 1200 36       
27          19800202 1800 30       
28          19800203 0000 24       
29          19800203 0001 23       
30          19800203 0600 18       
31          19800203 1200 12       
32          19800203 1800 6        
