ArrayTaskID date     time lead time
0           20111215 1800 90       
1           20111216 0000 84       
2           20111216 0600 78       
3           20111216 1200 72       
4           20111216 1800 66       
5           20111217 0000 60       
6           20111217 0600 54       
7           20111217 1200 48       
8           20111217 1800 42       
9           20111218 0000 36       
10          20111218 0600 30       
11          20111218 1200 24       
12          20111218 1800 18       
13          20111219 0000 12       
14          20111219 0600 6        
15          20111225 1200 120      
16          20111225 1800 114      
17          20111226 0000 108      
18          20111226 0600 102      
19          20111226 1200 96       
20          20111226 1800 90       
21          20111227 0000 84       
22          20111227 0600 78       
23          20111227 1200 72       
24          20111227 1800 66       
25          20111228 0000 60       
26          20111228 0600 54       
27          20111228 1200 48       
28          20111228 1800 42       
29          20111229 0000 36       
30          20111229 0600 30       
31          20111229 1200 24       
32          20111229 1800 18       
33          20111230 0000 12       
34          20111230 0600 6        
