ArrayTaskID date     time lead time
0           20040802 1200 102      
1           20040802 1800 24       
2           20040802 1800 90       
3           20040802 1800 96       
4           20040802 1800 168      
5           20040803 0000 18       
6           20040803 0000 84       
7           20040803 0000 90       
8           20040803 0000 168      
9           20040803 0600 12       
10          20040803 0600 78       
11          20040803 0600 84       
12          20040803 0600 168      
13          20040803 1200 6        
14          20040803 1200 72       
15          20040803 1200 78       
16          20040803 1200 168      
17          20040803 1800 66       
18          20040803 1800 72       
19          20040803 1800 168      
20          20040804 0000 60       
21          20040804 0000 66       
22          20040804 0000 168      
23          20040804 0600 54       
24          20040804 0600 60       
25          20040804 0600 168      
26          20040804 1200 48       
27          20040804 1200 54       
28          20040804 1200 168      
29          20040804 1800 42       
30          20040804 1800 48       
31          20040804 1800 168      
32          20040805 0000 36       
33          20040805 0000 42       
34          20040805 0000 168      
35          20040805 0600 30       
36          20040805 0600 36       
37          20040805 0600 168      
38          20040805 1200 24       
39          20040805 1200 30       
40          20040805 1200 168      
41          20040805 1800 18       
42          20040805 1800 24       
43          20040805 1800 168      
44          20040806 0000 12       
45          20040806 0000 18       
46          20040806 0000 168      
47          20040806 0600 6        
48          20040806 0600 12       
49          20040806 0600 162      
50          20040806 0600 168      
51          20040806 1200 6        
52          20040806 1200 156      
53          20040806 1200 168      
54          20040806 1800 150      
55          20040806 1800 168      
56          20040807 0000 144      
57          20040807 0000 168      
58          20040807 0600 138      
59          20040807 0600 162      
60          20040807 0600 168      
61          20040807 1200 132      
62          20040807 1200 156      
63          20040807 1200 168      
64          20040807 1800 126      
65          20040807 1800 150      
66          20040807 1800 168      
67          20040808 0000 120      
68          20040808 0000 144      
69          20040808 0000 168      
70          20040808 0600 114      
71          20040808 0600 138      
72          20040808 0600 168      
73          20040808 1200 108      
74          20040808 1200 132      
75          20040808 1200 162      
76          20040808 1800 102      
77          20040808 1800 126      
78          20040808 1800 156      
79          20040809 0000 96       
80          20040809 0000 120      
81          20040809 0000 150      
82          20040809 0600 90       
83          20040809 0600 114      
84          20040809 0600 144      
85          20040809 1200 84       
86          20040809 1200 108      
87          20040809 1200 138      
88          20040809 1200 144      
89          20040809 1800 78       
90          20040809 1800 102      
91          20040809 1800 132      
92          20040809 1800 138      
93          20040810 0000 72       
94          20040810 0000 96       
95          20040810 0000 126      
96          20040810 0000 132      
97          20040810 0600 66       
98          20040810 0600 90       
99          20040810 0600 120      
100         20040810 0600 126      
101         20040810 1200 60       
102         20040810 1200 84       
103         20040810 1200 114      
104         20040810 1200 120      
105         20040810 1800 54       
106         20040810 1800 78       
107         20040810 1800 108      
108         20040810 1800 114      
109         20040811 0000 48       
110         20040811 0000 72       
111         20040811 0000 102      
112         20040811 0000 108      
113         20040811 0600 42       
114         20040811 0600 66       
115         20040811 0600 96       
116         20040811 0600 102      
117         20040811 1200 36       
118         20040811 1200 60       
119         20040811 1200 90       
120         20040811 1200 96       
121         20040811 1800 30       
122         20040811 1800 54       
123         20040811 1800 84       
124         20040811 1800 90       
125         20040812 0000 24       
126         20040812 0000 48       
127         20040812 0000 78       
128         20040812 0000 84       
129         20040812 0600 18       
130         20040812 0600 42       
131         20040812 0600 72       
132         20040812 0600 78       
133         20040812 1200 12       
134         20040812 1200 36       
135         20040812 1200 66       
136         20040812 1200 72       
137         20040812 1800 6        
138         20040812 1800 30       
139         20040812 1800 60       
140         20040812 1800 66       
141         20040813 0000 24       
142         20040813 0000 54       
143         20040813 0000 60       
144         20040813 0600 18       
145         20040813 0600 48       
146         20040813 0600 54       
147         20040813 1200 12       
148         20040813 1200 42       
149         20040813 1200 48       
150         20040813 1200 168      
151         20040813 1800 6        
152         20040813 1800 30       
153         20040813 1800 36       
154         20040813 1800 42       
155         20040813 1800 48       
156         20040813 1800 168      
157         20040814 0000 24       
158         20040814 0000 30       
159         20040814 0000 36       
160         20040814 0000 42       
161         20040814 0000 168      
162         20040814 0600 18       
163         20040814 0600 24       
164         20040814 0600 30       
165         20040814 0600 36       
166         20040814 0600 168      
167         20040814 1200 12       
168         20040814 1200 18       
169         20040814 1200 24       
170         20040814 1200 30       
171         20040814 1200 168      
172         20040814 1800 6        
173         20040814 1800 12       
174         20040814 1800 18       
175         20040814 1800 24       
176         20040814 1800 168      
177         20040815 0000 6        
178         20040815 0000 12       
179         20040815 0000 18       
180         20040815 0000 168      
181         20040815 0600 6        
182         20040815 0600 12       
183         20040815 0600 168      
184         20040815 1200 6        
