ArrayTaskID date     time lead time
0           20040827 1800 90       
1           20040828 0000 84       
2           20040828 0600 78       
3           20040828 1200 72       
4           20040828 1800 66       
5           20040829 0000 60       
6           20040829 0600 54       
7           20040829 1200 48       
8           20040829 1800 42       
9           20040830 0000 36       
10          20040830 0600 30       
11          20040830 1200 24       
12          20040830 1800 18       
13          20040831 0000 12       
14          20040831 0600 6        
