ArrayTaskID date     time lead time
0           20010415 1200 168      
1           20010415 1800 168      
2           20010416 0000 168      
3           20010416 0600 168      
4           20010416 1200 168      
5           20010416 1800 168      
6           20010417 0000 168      
7           20010417 0600 162      
8           20010417 1200 156      
9           20010417 1800 150      
10          20010418 0000 144      
11          20010418 0600 138      
12          20010418 1200 132      
13          20010418 1800 126      
14          20010419 0000 120      
15          20010419 0600 114      
16          20010419 1200 108      
17          20010419 1800 102      
18          20010420 0000 96       
19          20010420 0600 90       
20          20010420 1200 84       
21          20010420 1800 78       
22          20010421 0000 72       
23          20010421 0600 66       
24          20010421 1200 60       
25          20010421 1800 54       
26          20010422 0000 48       
27          20010422 0600 42       
28          20010422 1200 36       
29          20010422 1800 30       
30          20010423 0000 24       
31          20010423 0600 18       
32          20010423 1200 12       
33          20010423 1800 6        
