ArrayTaskID date     time lead time
0           20011010 1200 168      
1           20011010 1800 168      
2           20011011 0000 168      
3           20011011 0600 162      
4           20011011 1200 156      
5           20011011 1800 150      
6           20011012 0000 144      
7           20011012 0600 138      
8           20011012 1200 132      
9           20011012 1800 126      
10          20011013 0000 120      
11          20011013 0600 114      
12          20011013 1200 108      
13          20011013 1800 102      
14          20011014 0000 96       
15          20011014 0600 90       
16          20011014 1200 84       
17          20011014 1800 78       
18          20011015 0000 72       
19          20011015 0600 66       
20          20011015 1200 60       
21          20011015 1800 54       
22          20011016 0000 48       
23          20011016 0600 42       
24          20011016 1200 36       
25          20011016 1800 30       
26          20011017 0000 24       
27          20011017 0600 18       
28          20011017 1200 12       
29          20011017 1800 6        
